t_h,ws_HH_m/s,wd_HH_deg
48296.5,17.14563758411576,11.513946499999975
48297.0,17.091734269043172,11.51613359999999
48297.5,17.426484168694174,8.95229089999998
48298.0,17.048071640958593,8.632008900000017
48298.5,16.246227822693466,9.249898299999984
48299.0,16.88278379965107,13.14996339999999
48299.5,16.881868006331782,12.563837700000022
48300.0,17.742051926335204,12.90777589999999
48300.5,18.347652428253962,13.242711400000019
48301.0,18.266857183997804,13.126414000000011
48301.5,18.026407750119446,12.811640399999987
48302.0,17.525922144647435,13.3457133
48302.5,16.285367757696726,15.517349200000012
48303.0,16.548035154511464,18.131881700000008
48303.5,16.925629549483947,20.568649300000004
48304.0,16.81804552015652,20.313761399999976
48304.5,16.553963675549983,21.40413410000002
48305.0,16.29264253712615,21.315653499999996
48305.5,15.471013050354314,21.78953039999999
48306.0,14.940759272172441,20.466649399999994
48306.5,13.533395840358585,21.171620700000005
48307.0,12.552375680395352,17.110005699999988
48307.5,9.879042143227759,15.344080599999984
48308.0,6.8647866582770884,17.71731060000002
48308.5,5.207131280807532,17.688110400000028
48309.0,5.151450930617076,14.816039999999987
48309.5,3.64957446435898,17.423227899999972
48310.0,3.2013828311158465,13.7835642
48310.5,2.388118765604834,354.5387065
48311.0,2.70209162306322,336.6566416
48311.5,2.4977139700057265,334.7516225
48312.0,4.113769804804448,350.9372381
48312.5,4.7221207460319805,353.8723094
48313.0,4.898827092865949,347.8254344
48313.5,5.363454543449863,342.5684636
48314.0,4.729608171060582,342.41046140000003
48314.5,3.67329713284262,336.3645274
48315.0,2.2399502945213934,316.01226299999996
48315.5,2.2216114839900585,284.38407900000004
48316.0,4.3556516756946255,329.3872248
48316.5,7.190336211992987,335.4522578
48317.0,8.660771482436624,331.9763769
48317.5,10.23755770204775,333.8735097
48318.0,12.07432907053824,338.7946548
48318.5,11.960256102711039,335.87958779999997
48319.0,12.512835380703983,335.7606074
48319.5,12.088627813907928,331.034289
48320.0,12.482349718210545,328.1538086
48320.5,12.653841195300295,326.91623430000004
48321.0,12.68940730545834,327.4759521
48321.5,13.492484515538749,328.9218267
48322.0,13.899769013556705,328.1196136
48322.5,14.400103973118542,327.57631430000004
48323.0,15.183280764377026,327.7602743
48323.5,15.489079057914516,327.8900731
48324.0,16.296487555380704,328.8127111
48324.5,16.285933662659083,326.97714229999997
48325.0,16.34300573149854,327.1393967
48325.5,15.853485200638305,325.2391179
48326.0,15.580444499595446,324.52470400000004
48326.5,15.840986852729982,325.1874975
48327.0,15.682547400969806,325.9016418
48327.5,15.489737765160168,326.8896205
48328.0,15.154948204407516,326.7851842
48328.5,14.740034490013143,324.1509476
48329.0,14.221264039697365,319.11555480000004
48329.5,13.647078162015994,317.142718
48330.0,11.935417104499912,317.8902054
48330.5,9.651060804991554,318.9101232
48331.0,7.259196036797372,324.3972956
48331.5,6.648042688718223,329.91907760000004
48332.0,6.121060344877501,324.2899119
48332.5,5.11385649645148,320.755984
48333.0,4.849466694939683,315.0780004
48333.5,5.186532572538401,317.9633255
48334.0,4.888027164027988,309.6034724
48334.5,5.453619751077415,310.8109868
48335.0,6.826297593768258,310.29095970000003
48335.5,6.382370196643774,303.4001465
48336.0,5.397421228505227,273.694341
48336.5,4.77589775192649,273.5794296
48337.0,6.4101740806573595,254.7199809
48337.5,6.284593489654524,253.519956
48338.0,6.885980036508094,252.2069855
